Exposure,Power,CarAge,DriverAge,Brand,Gas,Region,Density
0.06,d,0.0,63.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.68,d,0.0,63.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.09,d,0.0,37.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,48.0
0.65,d,0.0,37.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,48.0
0.74,f,7.0,33.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3132.0
0.74,d,0.0,34.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,2703.0
0.19,e,0.0,29.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.54,e,0.0,29.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.54,e,0.0,41.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,353.0
0.19,e,0.0,41.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,353.0
0.55,e,0.0,69.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.18,e,0.0,69.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.66,f,0.0,67.0,Japanese (except Nissan) or Korean,Diesel,Basse-Normandie,1322.0
0.07,f,0.0,67.0,Japanese (except Nissan) or Korean,Diesel,Basse-Normandie,1322.0
0.04,i,0.0,50.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,353.0
0.69,i,0.0,50.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,353.0
0.74,g,1.0,44.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,145.0
0.11,f,0.0,31.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.62,f,0.0,31.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.13,d,0.0,34.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.6,d,0.0,34.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.49,e,0.0,34.0,Japanese (except Nissan) or Korean,Regular,Bretagne,92.0
0.3,e,0.0,34.0,Japanese (except Nissan) or Korean,Regular,Bretagne,92.0
0.1,j,10.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2517.0
0.62,j,10.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2517.0
0.74,i,0.0,30.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.08,e,0.0,55.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.01,e,0.0,55.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.64,e,0.0,55.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.04,d,0.0,54.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,3424.5
0.69,d,0.0,54.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,3424.5
0.16,e,0.0,23.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1867.0
0.56,e,0.0,23.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1867.0
0.04,h,0.0,53.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3132.0
0.69,h,0.0,53.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3132.0
0.11,f,0.0,75.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,1199.0
0.62,f,0.0,75.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,1199.0
0.08,e,0.0,49.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,728.0
0.64,e,0.0,49.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,728.0
0.73,e,1.0,42.0,Japanese (except Nissan) or Korean,Diesel,Nord-Pas-de-Calais,1168.0
0.08,f,0.0,79.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,3424.5
0.01,f,0.0,79.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,3424.5
0.12,e,0.0,49.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,23.0
0.53,e,0.0,49.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,23.0
0.07,e,0.0,49.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,23.0
0.73,e,0.0,49.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.36,e,0.0,24.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1842.0
0.37,e,0.0,24.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1842.0
0.73,e,0.0,22.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.16,j,2.0,34.0,other,Regular,Ile-de-France,304.0
0.23,j,2.0,34.0,other,Regular,Ile-de-France,304.0
0.1,j,2.0,34.0,other,Regular,Ile-de-France,304.0
0.14,j,2.0,34.0,other,Regular,Ile-de-France,304.0
0.66,g,0.0,73.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.06,g,0.0,73.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.05,g,0.0,47.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1662.0
0.62,g,0.0,47.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1662.0
0.05,g,0.0,47.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1662.0
0.09,i,0.0,40.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,182.0
0.14,i,0.0,40.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,182.0
0.5,i,0.0,40.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,182.0
0.04,e,0.0,45.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,1294.0
0.68,e,0.0,45.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,1294.0
0.08,e,0.0,50.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,400.0
0.00546448087431694,e,0.0,50.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,400.0
0.64,e,0.0,50.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,400.0
0.19,e,0.0,68.0,Japanese (except Nissan) or Korean,Diesel,Nord-Pas-de-Calais,75.0
0.7,e,1.0,68.0,Japanese (except Nissan) or Korean,Diesel,Nord-Pas-de-Calais,75.0
0.72,e,0.0,47.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.56,d,0.0,57.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,283.0
0.16,d,0.0,57.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,283.0
0.22,f,5.0,34.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1874.0
0.5,f,5.0,34.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1874.0
0.72,j,3.0,37.0,Japanese (except Nissan) or Korean,Regular,Basse-Normandie,3424.5
0.72,f,0.0,52.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,149.0
0.09,d,0.0,31.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,424.0
0.62,d,0.0,31.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,424.0
0.72,g,0.0,65.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2090.0
0.03,g,2.0,33.0,Japanese (except Nissan) or Korean,Regular,Basse-Normandie,866.0
0.69,g,2.0,33.0,Japanese (except Nissan) or Korean,Regular,Basse-Normandie,866.0
0.64,d,0.0,39.0,Japanese (except Nissan) or Korean,Regular,Basse-Normandie,1021.0
0.07,d,0.0,39.0,Japanese (except Nissan) or Korean,Regular,Basse-Normandie,1021.0
0.58,e,0.0,56.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,193.0
0.13,e,0.0,56.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,193.0
0.77,j,3.0,68.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.65,f,0.0,26.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1542.0
0.07,f,0.0,26.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1542.0
0.01,e,0.0,41.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,83.0
0.64,e,0.0,41.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,83.0
0.06,e,0.0,41.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,83.0
0.26,d,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.45,d,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.09,d,0.0,31.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,3424.5
0.62,d,0.0,31.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,3424.5
0.18,e,1.0,54.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,88.0
0.53,e,1.0,54.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,88.0
0.08,f,1.0,46.0,Japanese (except Nissan) or Korean,Diesel,Centre,121.0
0.04,f,1.0,46.0,Japanese (except Nissan) or Korean,Diesel,Centre,121.0
0.01,e,0.0,40.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3420.0
0.06,e,0.0,40.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3420.0
0.62,e,0.0,40.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3420.0
0.66,g,0.0,56.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.04,g,0.0,56.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.18,d,0.0,54.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,93.0
0.2,d,0.0,54.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,93.0
0.66,i,0.0,45.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,720.0
0.06,i,0.0,45.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,720.0
0.08,i,0.0,37.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.63,i,0.0,37.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.05,g,0.0,67.0,Japanese (except Nissan) or Korean,Diesel,Poitou-Charentes,29.0
0.67,g,0.0,67.0,Japanese (except Nissan) or Korean,Diesel,Poitou-Charentes,29.0
0.71,j,0.0,60.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.25,g,0.0,31.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.03,g,0.0,31.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.42,g,0.0,31.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.65,e,0.0,49.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,686.0
0.05,e,0.0,49.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,686.0
0.78,e,0.0,75.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,695.0
0.64,j,0.0,55.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2311.0
0.07,j,0.0,55.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2311.0
0.03,g,8.0,33.0,"Renault, Nissan or Citroen",Regular,Ile-de-France,3424.5
0.08,g,8.0,33.0,"Renault, Nissan or Citroen",Regular,Ile-de-France,3424.5
0.59,g,8.0,33.0,"Renault, Nissan or Citroen",Regular,Ile-de-France,3424.5
0.12,e,0.0,32.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.53,e,0.0,32.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.06,e,0.0,32.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.1,g,2.0,71.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2201.0
0.02,g,0.0,71.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2201.0
0.15,g,2.0,71.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2201.0
0.42,g,0.0,71.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2201.0
0.66,e,0.0,34.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.04,e,0.0,34.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.71,e,0.0,29.0,Japanese (except Nissan) or Korean,Regular,Centre,3424.5
0.71,d,0.0,48.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,254.0
0.17,g,0.0,36.0,Japanese (except Nissan) or Korean,Diesel,Nord-Pas-de-Calais,3095.0
0.53,g,0.0,36.0,Japanese (except Nissan) or Korean,Diesel,Nord-Pas-de-Calais,3095.0
0.2,e,0.0,44.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,923.0
0.5,e,0.0,44.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,923.0
0.08,f,0.0,76.0,Japanese (except Nissan) or Korean,Diesel,Basse-Normandie,247.0
0.62,f,0.0,76.0,Japanese (except Nissan) or Korean,Diesel,Basse-Normandie,247.0
0.46,g,0.0,75.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,175.0
0.07,g,0.0,75.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,175.0
0.16,g,0.0,75.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,175.0
0.68,g,8.0,28.0,"Volkswagen, Audi, Skoda or Seat",Regular,Haute-Normandie,55.0
0.01,g,0.0,45.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.2,g,0.0,45.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.49,g,0.0,45.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.79,d,0.0,65.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,312.0
0.09,g,0.0,68.0,Japanese (except Nissan) or Korean,Regular,Haute-Normandie,959.0
0.6,g,0.0,68.0,Japanese (except Nissan) or Korean,Regular,Haute-Normandie,959.0
0.09,e,0.0,30.0,Japanese (except Nissan) or Korean,Regular,Limousin,1729.0
0.61,e,0.0,30.0,Japanese (except Nissan) or Korean,Regular,Limousin,1729.0
0.25,f,0.0,36.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,503.0
0.44,f,0.0,36.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,503.0
0.71,f,6.0,36.0,"Renault, Nissan or Citroen",Diesel,Centre,2399.0
0.71,d,0.0,34.0,"Renault, Nissan or Citroen",Regular,Ile-de-France,3424.5
0.56,d,0.0,46.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,498.0
0.13,d,0.0,46.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,498.0
0.47,i,0.0,36.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.22,i,0.0,36.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.76,g,0.0,52.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.54,f,2.0,40.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,817.0
0.16,f,2.0,40.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,817.0
0.7,g,5.0,32.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.57,d,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.09,d,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.06,d,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.7,f,0.0,33.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,3424.5
0.75,j,10.0,34.0,"Renault, Nissan or Citroen",Regular,Ile-de-France,3424.5
0.7,e,0.0,25.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,245.0
0.63,f,0.0,69.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,462.0
0.07,f,0.0,69.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,462.0
0.64,f,0.0,40.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,232.0
0.05,f,0.0,40.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,232.0
0.24,e,0.0,29.0,Japanese (except Nissan) or Korean,Regular,Centre,3424.5
0.39,e,0.0,29.0,Japanese (except Nissan) or Korean,Regular,Centre,3424.5
0.05,e,0.0,29.0,Japanese (except Nissan) or Korean,Regular,Centre,3424.5
0.64,d,1.0,61.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,3424.5
0.04,d,0.0,61.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,3424.5
0.09,g,0.0,57.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1858.0
0.6,g,0.0,57.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1858.0
0.1,d,0.0,39.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,645.0
0.6,d,0.0,39.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,645.0
0.7,g,4.0,44.0,Japanese (except Nissan) or Korean,Regular,Limousin,1729.0
0.13,f,2.0,49.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,2032.0
0.62,e,0.0,37.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,534.0
0.07,e,0.0,37.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,534.0
0.00546448087431694,e,0.0,54.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.62,e,0.0,54.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.07,e,0.0,54.0,Japanese (except Nissan) or Korean,Diesel,Ile-de-France,3424.5
0.67,f,3.0,36.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,19.0
0.57,l,9.0,53.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3110.0
0.11,l,9.0,53.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3110.0
0.65,d,0.0,59.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,1309.0
0.04,d,0.0,59.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,1309.0
0.69,e,4.0,60.0,"Renault, Nissan or Citroen",Regular,Nord-Pas-de-Calais,553.0
0.53,e,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.16,e,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.51,f,3.0,31.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,384.0
0.18,f,3.0,31.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,384.0
0.62,e,0.0,42.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.06,e,0.0,42.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.69,h,2.0,35.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,92.0
0.08,g,0.0,69.0,Japanese (except Nissan) or Korean,Diesel,Nord-Pas-de-Calais,582.0
0.61,g,0.0,69.0,Japanese (except Nissan) or Korean,Diesel,Nord-Pas-de-Calais,582.0
0.68,d,1.0,37.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.08,e,0.0,50.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.63,e,0.0,50.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.62,f,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.06,f,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.23,i,0.0,48.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.19,i,0.0,48.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.25,i,0.0,48.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.63,i,0.0,33.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,1489.0
0.03,i,0.0,33.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,1489.0
0.68,k,6.0,37.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,694.0
0.62,i,0.0,41.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.05,i,0.0,41.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.07,f,6.0,24.0,"Opel, General Motors or Ford",Regular,Pays-de-la-Loire,3424.5
0.16,d,10.0,24.0,Fiat,Regular,Pays-de-la-Loire,3424.5
0.44,d,10.0,24.0,Fiat,Regular,Pays-de-la-Loire,3424.5
0.62,g,0.0,63.0,Japanese (except Nissan) or Korean,Diesel,Poitou-Charentes,39.0
0.06,g,0.0,63.0,Japanese (except Nissan) or Korean,Diesel,Poitou-Charentes,39.0
0.6,e,0.0,42.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,103.0
0.07,e,0.0,42.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,103.0
0.09,e,0.0,53.0,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,68.0
0.82,m,12.0,48.0,"Mercedes, Chrysler or BMW",Regular,Ile-de-France,186.0

